 Corte de caja: C241216A.TXT

                              LA BODEGA DE PLUTARCO

                      INFORME DE CORTE DE CAJA ELECTRONICA
------------------------------------------------------------------------------

        Apertura: 24/12/2016  09:16:44 am 
          Cierre: 24/12/2016   8:22:42 pm
Usuario Apertura: 001  ESCRIBA AQUI SU NOMBRE                       
  Usuario Cierre: 001  ESCRIBA AQUI SU NOMBRE                       


                               Ventas mostrador
-------------------------------------------------------------------------------
 Folio  Fecha        Hora              Importe Pago Referencia        Sts Usr C
-------------------------------------------------------------------------------
 001015 24/12/2016  09:29:38 am $        14.00 EFE                     A  001 1
 001016 24/12/2016  09:49:34 am $       273.00 EFE                     A  001 1
 001017 24/12/2016  09:57:19 am $        81.00 EFE                     A  001 1
 001018 24/12/2016  10:08:14 am $        67.00 EFE                     A  001 1
 001019 24/12/2016  10:10:17 am $        69.00 EFE                     A  001 1
 001020 24/12/2016  10:11:30 am $        19.00 EFE                     A  001 1
 001021 24/12/2016  10:14:47 am $        36.00 EFE                     A  001 1
 001022 24/12/2016  10:18:11 am $         8.00 EFE                     A  001 1
 001023 24/12/2016  10:31:07 am $       122.00 EFE                     A  001 1
 001024 24/12/2016  10:31:26 am $        30.00 EFE                     A  001 1
 001025 24/12/2016  10:37:24 am $       119.00 EFE                     A  001 1
 001026 24/12/2016  10:39:16 am $        31.00 EFE                     A  001 1
 001027 24/12/2016  10:41:18 am $       111.00 EFE                     A  001 1
 001028 24/12/2016  10:42:03 am $        30.00 EFE                     A  001 1
 001029 24/12/2016  10:44:30 am $        42.00 EFE                     A  001 1
 001030 24/12/2016  10:44:49 am $        18.00 EFE                     A  001 1
 001031 24/12/2016  10:49:59 am $        96.00 EFE                     A  001 1
 001032 24/12/2016  10:58:16 am $        45.00 EFE                     A  001 1
 001033 24/12/2016  11:06:16 am $        67.00 EFE                     A  001 1
 001034 24/12/2016  11:13:52 am $        57.00 EFE                     A  001 1
 001035 24/12/2016  11:17:04 am $         7.00 EFE                     A  001 1
 001036 24/12/2016  11:20:17 am $       191.00 EFE                     A  001 1
 001037 24/12/2016  11:42:30 am $        98.00 EFE                     A  001 1
 001038 24/12/2016  11:48:21 am $        55.50 EFE                     A  001 1
 001039 24/12/2016  11:54:26 am $        78.00 EFE                     A  001 1
 001040 24/12/2016  11:55:12 am $        72.00 EFE                     A  001 1
 001041 24/12/2016  12:04:26 pm $       103.00 EFE                     A  001 1
 001042 24/12/2016  12:06:17 pm $       130.00 EFE                     A  001 1
 001043 24/12/2016  12:08:54 pm $        51.00 EFE                     A  001 1
 001044 24/12/2016  12:26:43 pm $        26.00 EFE                     A  001 1
 001045 24/12/2016  12:45:39 pm $       107.00 EFE                     A  001 1
 001046 24/12/2016  12:46:45 pm $        43.00 EFE                     A  001 1
 001047 24/12/2016  12:50:50 pm $       156.00 EFE                     A  001 1
 001048 24/12/2016  12:53:52 pm $        20.00 EFE                     A  001 1
 001049 24/12/2016   1:10:30 pm $        37.00 EFE                     A  001 1
 001050 24/12/2016   1:12:50 pm $        85.00 EFE                     A  001 1
 001051 24/12/2016   1:14:38 pm $        40.00 EFE                     A  001 1
 001052 24/12/2016   1:21:49 pm $       153.00 EFE                     A  001 1
 001053 24/12/2016   1:26:35 pm $        62.00 EFE                     A  001 1
 001054 24/12/2016   1:32:24 pm $        17.00 EFE                     A  001 1
 001055 24/12/2016   1:39:59 pm $        50.00 EFE                     A  001 1
 001056 24/12/2016   1:46:13 pm $        65.00 EFE                     A  001 1
 001057 24/12/2016   1:49:27 pm $         2.00 EFE                     A  001 1
 001058 24/12/2016   2:00:57 pm $        28.00 EFE                     A  001 1
 001059 24/12/2016   2:08:04 pm $       102.00 EFE                     A  001 1
 001060 24/12/2016   2:14:47 pm $        29.00 EFE                     A  001 1
 001061 24/12/2016   2:35:36 pm $        23.00 EFE                     A  001 1
 001062 24/12/2016   2:38:40 pm $       168.00 EFE                     A  001 1
 001063 24/12/2016   2:55:13 pm $        30.00 EFE                     A  001 1
 001064 24/12/2016   2:57:37 pm $        55.00 EFE                     A  001 1
 001065 24/12/2016   2:58:20 pm $        32.00 EFE                     A  001 1
 001066 24/12/2016   3:06:49 pm $        64.00 EFE                     A  001 1
 001067 24/12/2016   3:25:34 pm $        26.00 EFE                     A  001 1
 001068 24/12/2016   3:28:56 pm $        62.00 EFE                     A  001 1
 001069 24/12/2016   3:30:18 pm $         8.00 EFE                     A  001 1
 001070 24/12/2016   3:33:11 pm $       131.00 EFE                     A  001 1
 001071 24/12/2016   3:35:09 pm $        82.00 EFE                     A  001 1
 001072 24/12/2016   3:36:42 pm $        60.00 EFE                     A  001 1
 001073 24/12/2016   3:55:33 pm $        99.50 EFE                     A  001 1
 001074 24/12/2016   3:56:35 pm $         8.00 EFE                     A  001 1
 001075 24/12/2016   3:57:26 pm $        32.00 EFE                     A  001 1
 001076 24/12/2016   3:58:08 pm $        60.00 EFE                     A  001 1
 001077 24/12/2016   4:02:37 pm $       255.00 EFE                     A  001 1
 001078 24/12/2016   4:04:27 pm $        10.00 EFE                     A  001 1
 001079 24/12/2016   4:06:32 pm $        31.00 EFE                     A  001 1
 001080 24/12/2016   4:07:45 pm $        28.00 EFE                     A  001 1
 001081 24/12/2016   4:13:39 pm $        64.50 EFE                     A  001 1
 001082 24/12/2016   4:13:51 pm $        10.00 EFE                     A  001 1
 001083 24/12/2016   4:18:46 pm $       128.00 EFE                     A  001 1
 001084 24/12/2016   4:20:13 pm $       102.00 EFE                     A  001 1
 001085 24/12/2016   4:28:16 pm $        41.00 EFE                     A  001 1
 001086 24/12/2016   4:28:49 pm $        37.00 EFE                     A  001 1
 001087 24/12/2016   4:39:24 pm $        42.00 EFE                     A  001 1
 001088 24/12/2016   4:41:38 pm $        36.00 EFE                     A  001 1
 001089 24/12/2016   4:46:31 pm $        46.50 EFE                     A  001 1
 001090 24/12/2016   4:47:01 pm $        10.00 EFE                     A  001 1
 001091 24/12/2016   4:56:20 pm $       124.00 EFE                     A  001 1
 001092 24/12/2016   5:03:10 pm $       228.00 EFE                     A  001 1
 001093 24/12/2016   5:03:23 pm $         4.00 EFE                     A  001 1
 001094 24/12/2016   5:07:45 pm $       108.00 EFE                     A  001 1
 001095 24/12/2016   5:08:51 pm $        98.00 EFE                     A  001 1
 001096 24/12/2016   5:09:33 pm $        30.00 EFE                     A  001 1
 001097 24/12/2016   5:16:04 pm $        60.00 EFE                     A  001 1
 001098 24/12/2016   5:24:33 pm $       478.00 EFE                     A  001 1
 001099 24/12/2016   5:35:41 pm $        34.00 EFE                     A  001 1
 001100 24/12/2016   5:38:46 pm $       198.00 EFE                     A  001 1
 001101 24/12/2016   5:46:22 pm $        65.00 EFE                     A  001 1
 001102 24/12/2016   5:47:42 pm $        21.00 EFE                     A  001 1
 001103 24/12/2016   5:53:04 pm $        27.00 EFE                     A  001 1
 001104 24/12/2016   5:57:10 pm $        55.00 EFE                     A  001 1
 001105 24/12/2016   5:58:02 pm $        50.00 EFE                     A  001 1
 001106 24/12/2016   6:05:19 pm $        46.00 EFE                     A  001 1
 001107 24/12/2016   6:06:33 pm $        20.00 EFE                     A  001 1
 001108 24/12/2016   6:07:48 pm $       164.00 EFE                     A  001 1
 001109 24/12/2016   6:08:50 pm $        20.00 EFE                     A  001 1
 001110 24/12/2016   6:13:47 pm $        30.00 EFE                     A  001 1
 001111 24/12/2016   6:20:38 pm $        37.00 EFE                     A  001 1
 001112 24/12/2016   6:22:22 pm $       138.00 EFE                     A  001 1
 001113 24/12/2016   6:23:51 pm $        83.00 EFE                     A  001 1
 001114 24/12/2016   6:28:39 pm $        41.00 EFE                     A  001 1
 001115 24/12/2016   6:29:25 pm $        40.00 EFE                     A  001 1
 001116 24/12/2016   6:31:58 pm $        18.00 EFE                     A  001 1
 001117 24/12/2016   6:47:46 pm $        25.50 EFE                     A  001 1
 001118 24/12/2016   6:48:20 pm $        50.00 EFE                     A  001 1
 001119 24/12/2016   6:49:35 pm $        90.00 EFE                     A  001 1
 001120 24/12/2016   6:52:19 pm $        38.00 EFE                     A  001 1
 001121 24/12/2016   6:53:23 pm $        62.00 EFE                     A  001 1
 001122 24/12/2016   7:06:03 pm $        85.00 EFE                     A  001 1
 001123 24/12/2016   7:07:36 pm $       127.00 EFE                     A  001 1
 001124 24/12/2016   7:07:50 pm $         5.00 EFE                     A  001 1
 001125 24/12/2016   7:16:30 pm $        84.00 EFE                     A  001 1
 001126 24/12/2016   7:19:06 pm $        78.00 EFE                     A  001 1
 001127 24/12/2016   7:24:44 pm $        19.00 EFE                     A  001 1
 001128 24/12/2016   7:31:16 pm $       110.00 EFE                     A  001 1
 001129 24/12/2016   7:40:34 pm $        30.00 EFE                     A  001 1
 001130 24/12/2016   7:54:58 pm $       122.00 EFE                     A  001 1
 001131 24/12/2016   7:55:39 pm $        20.00 EFE                     A  001 1
 001132 24/12/2016   8:10:47 pm $        96.00 EFE                     A  001 1
   
                    Ventas EFE: $     8,182.50
                                --------------
           TOTAL VENTAS CAJA 1: $     8,182.50



                                       


   



                         Ingresos / Egresos No tickets
 ------------------------------------------------------------------------------
 Mov Concepto                         Importe Pago Fecha        Hora       Usr
 ------------------------------------------------------------------------------


   Total INGRESOS en efectivo: $          0.00
      En otras formas de pago: $          0.00
                               ---------------
                               $          0.00

    Total EGRESOS en efectivo: $          0.00
      En otras formas de pago: $          0.00
                               ---------------
                               $          0.00



 -[ RESUMEN CAJA 1 ]-----------------------------------------------------------------
  Fondo en Caja a la Apertura: $        500.00
      Ventas con pagos en EFE: $      8,182.50
             Efectivo en caja: $      8,682.50  *2
 ------------------------------------------------------------------------------------

 *2 fondo de caja + Ventas en efectivo + pagos en efectivo en CxC + Ingresos en efectivo - Egresos en efectivo 




                                       


 === TOTALES GENERALES ==============================================================
      SUMA DE FONDOS EN CAJAS: $        500.00
      SUMA VENTAS EN EFECTIVO: $      8,182.50
  SUMA VENTAS EN OTRAS F.PAGO: $          0.00
 INGRESOS OTROS CONCEPTOS EFE: $          0.00
 INGRESOS OTROS CONCEPTOS OTR: $          0.00
          EGRESOS EN EFECTIVO: $          0.00
  EGRESOS OTRAS FOMAS DE PAGO: $          0.00
               COBRADO EN CXC: $          0.00
                 VENTAS A CXC: $          0.00

    SUMA DE EFECTIVO EN CAJAS: $      8,682.50


  Fin de informe...




                                       
